text,id,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral_lexicon,dominant_score_lexicon
சூதும் வாதும் வேதனை செய்யும்.,33,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,care.vice,1
செய்தவம் மறந்தால் கைதவம் ஆளும்.,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சேமம் புகினும் யாமத்து உறங்கு.,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சை ஒத்து இருந்தால் ஐயம் இட்டு உண்.,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சொக்கர் என்பவர் அத்தம் பெறுவர்.,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சோம்பர் என்பவர் தேம்பித் திரிவர்.,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தந்தை சொல் மிக்க மந்திரம் இல்லை.,39,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,authority.virtue,1
தாயிற் சிறந்ததொரு கோயிலும் இல்லை.,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
திரைகடல் ஓடியும் திரவியம் தேடு.,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தீராக் கோபம் போராய் முடியும்.,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
துடியாப் பெண்டிர் மடியில் நெருப்பு.,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தூற்றும் பெண்டிர் கூற்று எனத் தகும்.,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தெய்வம் சீறின் கைத்தவம் மாளும்.,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,sanctity.virtue,1
தேடாது அழிக்கின் பாடாய் முடியும்.,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தையும் மாசியும் வையகத்து உறங்கு.,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தொழுதூண் சுவையின் உழுதூண் இனிது.,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தோழனோடும் ஏழைமை பேசேல்.,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நல்லிணக்கம் அல்லல் படுத்தும்.,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நாடெங்கும் வாழக் கேடொன்றும் இல்லை.,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நிற்கக் கற்றல் சொல் திறம்பாமை.,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நீரகம் பொருந்திய ஊரகத்து இரு.,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நுண்ணிய கருமமும் எண்ணித் துணி.,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நூல்முறை தெரிந்து சீலத்து ஒழுகு.,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நெஞ்சை ஒளித்து ஒரு வஞ்சகம் இல்லை.,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நேரா நோன்பு சீராகாது.,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நைபவர் எனினும் நொய்ய உரையேல்.,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நொய்யவர் என்பவர் வெய்யவர் ஆவர்.,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நோன்பு என்பதுவே (? என்பது) கொன்று தின்னாமை.,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பண்ணிய பயிரில் புண்ணியம் தெரியும்.,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பாலோடு ஆயினும் காலம் அறிந்து உண்.,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பிறன் மனை புகாமை அறம் எனத் தகும்.,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,sanctity.virtue,1
பீரம் பேணி பாரம் தாங்கும்.,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
புலையும் கொலையும் களவும் தவிர்.,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பூரியோர்க்கு இல்லை சீரிய ஒழுக்கம்.,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பெற்றோர்க்கு இல்லை சுற்றமும் சினமும்.,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பேதைமை என்பது மாதர்க்கு அணிகலம்.,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பையச் சென்றால் வையம் தாங்கும்.,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பொல்லாங்கு என்பவை எல்லாம் தவிர்.,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
போனகம் என்பது தான் உழந்து உண்டல்.,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மருந்தே ஆயினும் விருந்தோடு உண்.,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மாரி அல்லது காரியம் இல்லை.,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மின்னுக்கு எல்லாம் பின்னுக்கு மழை.,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மீகாமன் இல்லா மரக்கலம் ஓடாது.,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
முற்பகல் செய்யின் பிற்பகல் விளையும்.,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மூத்தோர் சொல் வார்த்தை அமிர்தம்.,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மெத்தையில் படுத்தல் நித்திரைக்கு அழகு.,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மேழிச் செல்வம் கோழை படாது.,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மை விழியார் தம் மனையகன்று ஒழுகு.,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மொழிவது மறுக்கின் அழிவது கருமம்.,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மோனம் என்பது ஞான வரம்பு.,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வளவன் ஆயினும் அளவறிந்து அழித்து உண்.,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வானம் சுருங்கின் தானம் சுருங்கும்.,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
விருந்திலோர்க்கு இல்லை பொருந்திய ஒழுக்கம்.,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வீரன் கேண்மை கூரம்பு ஆகும்.,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
உரவோர் என்கை இரவாது இருத்தல்.,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஊக்கம் உடைமை ஆக்கத்திற்கு அழகு.,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வெள்ளைக்கு இல்லை கள்ளச் சிந்தை.,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வேந்தன் சீறின் ஆம் துணை இல்லை.,90,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,authority.virtue,1
வைகல் தோறும் தெய்வம் தொழு.,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,sanctity.virtue,1
ஒத்த இடத்து நித்திரை கொள்.,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஓதாதார்க்கு இல்லை உணர்வொடும் ஒழுக்கம்.,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
