verse_number,text,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
64,பீரம் பேணி பாரம் தாங்கும்.,0.4858878,0.35755843,0.38866448,0.319581,0.39519668,0.31853712,0.42192823,0.30219832,0.37909642,0.33498144,care.virtue,0.4858878
65,புலையும் கொலையும் களவும் தவிர்.,0.5133286,0.5720325,0.487647,0.47243088,0.5186336,0.49989292,0.472519,0.46738148,0.54484534,0.56626093,care.vice,0.5720325
66,பூரியோர்க்கு இல்லை சீரிய ஒழுக்கம்.,0.27572906,0.2660873,0.32841116,0.2807132,0.31660706,0.31974834,0.3276114,0.35045445,0.3097421,0.3175746,authority.vice,0.35045445
67,பெற்றோர்க்கு இல்லை சுற்றமும் சினமும்.,0.28312695,0.19536655,0.23022065,0.19954169,0.28876424,0.207241,0.25375995,0.22000568,0.22347791,0.18669331,loyalty.virtue,0.28876424
68,பேதைமை என்பது மாதர்க்கு அணிகலம்.,0.309201,0.3198231,0.28000456,0.36505032,0.32399476,0.29421607,0.37127522,0.25296652,0.3965827,0.42831033,sanctity.vice,0.42831033
69,பையச் சென்றால் வையம் தாங்கும்.,0.5092263,0.45941907,0.45856822,0.4526784,0.50470746,0.4369936,0.49370214,0.407476,0.48642582,0.47575384,care.virtue,0.5092263
70,பொல்லாங்கு என்பவை எல்லாம் தவிர்.,0.21380031,0.19356395,0.19553162,0.29792905,0.2621106,0.280706,0.22577812,0.26603955,0.2534234,0.26847544,fairness.vice,0.29792905
71,போனகம் என்பது தான் உழந்து உண்டல்.,0.25253096,0.30388248,0.19735147,0.25282848,0.26664668,0.20550063,0.21898289,0.21540108,0.2545994,0.3587666,sanctity.vice,0.3587666
72,மருந்தே ஆயினும் விருந்தோடு உண்.,0.35892242,0.2997155,0.2644843,0.2720039,0.3480836,0.24134193,0.29283348,0.2755199,0.33371174,0.3419416,care.virtue,0.35892242
73,மாரி அல்லது காரியம் இல்லை.,0.45154828,0.415058,0.4408545,0.3940764,0.44046253,0.41620082,0.39033496,0.45249206,0.48952717,0.45201033,sanctity.virtue,0.48952717
74,மின்னுக்கு எல்லாம் பின்னுக்கு மழை.,0.33104622,0.30627298,0.315436,0.29308036,0.31597525,0.2965678,0.33753288,0.2852562,0.35376218,0.33369356,sanctity.virtue,0.35376218
75,மீகாமன் இல்லா மரக்கலம் ஓடாது.,0.3981157,0.35965794,0.3776191,0.34341675,0.3762337,0.34516484,0.35707733,0.32503527,0.4011957,0.39665848,sanctity.virtue,0.4011957
76,முற்பகல் செய்யின் பிற்பகல் விளையும்.,0.44641623,0.42619133,0.47145623,0.43690503,0.46870106,0.36833397,0.45575747,0.3974022,0.42603332,0.44112277,fairness.virtue,0.47145623
77,மூத்தோர் சொல் வார்த்தை அமிர்தம்.,0.4043246,0.37248883,0.36222723,0.3699664,0.37280107,0.3148436,0.4301841,0.31691676,0.46993363,0.43948072,sanctity.virtue,0.46993363
78,மெத்தையில் படுத்தல் நித்திரைக்கு அழகு.,0.27384937,0.19674054,0.18487164,0.22725952,0.17804924,0.16790512,0.23856919,0.14358017,0.29031712,0.2854862,sanctity.virtue,0.29031712
79,மேழிச் செல்வம் கோழை படாது.,0.40973616,0.35681286,0.3354555,0.38705063,0.3713783,0.32657892,0.37175333,0.33178043,0.42731982,0.42776752,sanctity.vice,0.42776752
80,மை விழியார் தம் மனையகன்று ஒழுகு.,0.3217528,0.27512908,0.22265393,0.2929906,0.27282953,0.2967227,0.3193617,0.24701807,0.3531021,0.36158398,sanctity.vice,0.36158398
81,மொழிவது மறுக்கின் அழிவது கருமம்.,0.4954422,0.6104535,0.5426023,0.6013038,0.5458454,0.57235193,0.56491005,0.59603775,0.5889401,0.6772864,sanctity.vice,0.6772864
82,மோனம் என்பது ஞான வரம்பு.,0.35168785,0.3292425,0.31950375,0.32189184,0.31288725,0.30297208,0.36025524,0.28830355,0.4151788,0.34512958,sanctity.virtue,0.4151788
83,வளவன் ஆயினும் அளவறிந்து அழித்து உண்.,0.32588738,0.43051907,0.31101024,0.3577078,0.36777914,0.3238681,0.33674645,0.3956753,0.37593693,0.4688301,sanctity.vice,0.4688301
84,வானம் சுருங்கின் தானம் சுருங்கும்.,0.41328663,0.4614972,0.4200913,0.4348842,0.41804692,0.40653,0.44356805,0.44655782,0.45099586,0.55381906,sanctity.vice,0.55381906
85,விருந்திலோர்க்கு இல்லை பொருந்திய ஒழுக்கம்.,0.28980392,0.32294554,0.382496,0.33371848,0.38384622,0.38533407,0.34059983,0.4321565,0.27353942,0.32475784,authority.vice,0.4321565
86,வீரன் கேண்மை கூரம்பு ஆகும்.,0.43201983,0.4627805,0.3908568,0.36652377,0.43311262,0.3974362,0.4219219,0.3779129,0.41797978,0.4168941,care.vice,0.4627805
87,உரவோர் என்கை இரவாது இருத்தல்.,0.4874651,0.4603473,0.43089175,0.4786751,0.48379016,0.43774375,0.49057555,0.46343005,0.5181767,0.52412075,sanctity.vice,0.52412075
88,ஊக்கம் உடைமை ஆக்கத்திற்கு அழகு.,0.4636132,0.46514586,0.41008753,0.5177275,0.46881434,0.4511426,0.5089299,0.4468112,0.51003355,0.52176714,sanctity.vice,0.52176714
89,வெள்ளைக்கு இல்லை கள்ளச் சிந்தை.,0.31568158,0.32693046,0.33366185,0.41106665,0.29709756,0.3634569,0.30022705,0.3582404,0.37858236,0.41164303,sanctity.vice,0.41164303
90,வேந்தன் சீறின் ஆம் துணை இல்லை.,0.48088542,0.42034388,0.50689524,0.4696633,0.50680494,0.46798542,0.4778246,0.48956493,0.46833593,0.45728478,fairness.virtue,0.50689524
91,வைகல் தோறும் தெய்வம் தொழு.,0.29182684,0.24723767,0.2537698,0.22362797,0.29850847,0.25697702,0.33808088,0.24740274,0.39900556,0.24717209,sanctity.virtue,0.39900556
92,ஒத்த இடத்து நித்திரை கொள்.,0.34402838,0.3014931,0.350155,0.33124304,0.34977415,0.25515658,0.3465898,0.27821743,0.3411978,0.36213028,sanctity.vice,0.36213028
93,ஓதாதார்க்கு இல்லை உணர்வொடும் ஒழுக்கம்.,0.28623185,0.35975555,0.37342036,0.35812783,0.31873432,0.39181897,0.3559702,0.44657248,0.3339308,0.371498,authority.vice,0.44657248
